Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
Ridgefield,No,24959,21263,85.19,18819,75.4,,,12/22/2021
Rocky Hill,No,20115,16782,83.43,15286,75.99,,,12/22/2021
Roxbury,No,2152,1868,86.8,1651,76.72,,,12/22/2021
Salem,No,4083,3208,78.57,2917,71.44,,,12/22/2021
Salisbury,No,3600,3636,100,3257,90.47,,,12/22/2021
Scotland,No,1672,1017,60.83,965,57.72,,,12/22/2021
Seymour,No,16437,11894,72.36,11027,67.09,,,12/22/2021
Sharon,No,2689,1943,72.26,1741,64.75,,,12/22/2021
Shelton,No,41129,31536,76.68,29238,71.09,,,12/22/2021
Sherman,No,3630,2579,71.05,2242,61.76,,,12/22/2021
Simsbury,No,25395,21585,85,19682,77.5,,,12/22/2021
Somers,No,10784,7207,66.83,6566,60.89,,,12/22/2021
South Windsor,No,26162,22419,85.69,20484,78.3,,,12/22/2021
Southbury,No,19571,15891,81.2,14428,73.72,,,12/22/2021
Southington,No,43834,34276,78.2,31919,72.82,,,12/22/2021
Sprague,No,2859,1847,64.6,1702,59.53,,,12/22/2021
Stafford,No,11893,7212,60.64,6604,55.53,,,12/22/2021
Stamford,Yes,129638,109502,84.47,94969,73.26,,,12/22/2021
Sterling,No,3782,2003,52.96,1821,48.15,,,12/22/2021
Stonington,No,18559,14497,78.11,13262,71.46,,,12/22/2021
Stratford,No,51849,38448,74.15,35277,68.04,,,12/22/2021
Suffield,No,15814,11339,71.7,10252,64.83,,,12/22/2021
Thomaston,No,7535,5401,71.68,5021,66.64,,,12/22/2021
Thompson,No,9379,4923,52.49,4407,46.99,,,12/22/2021
Tolland,No,14618,11660,79.76,10844,74.18,,,12/22/2021
Torrington,Yes,34044,24902,73.15,22923,67.33,,,12/22/2021
Trumbull,No,35673,30406,85.24,27605,77.38,,,12/22/2021
Union,No,839,541,64.48,507,60.43,,,12/22/2021
Vernon,Yes,29359,22411,76.33,20606,70.19,,,12/22/2021
Voluntown,No,2510,1687,67.21,1566,62.39,,,12/22/2021
Wallingford,No,44326,35491,80.07,32742,73.87,,,12/22/2021
Warren,No,1395,1049,75.2,957,68.6,,,12/22/2021
Washington,No,3428,3052,89.03,2654,77.42,,,12/22/2021
Waterbury,Yes,107568,69579,64.68,61706,57.36,,,12/22/2021
Waterford,Yes,18746,15627,83.36,14343,76.51,,,12/22/2021
Watertown,No,21578,16438,76.18,15153,70.22,,,12/22/2021
West Hartford,Yes,62965,56490,89.72,51241,81.38,,,12/22/2021
West Haven,Yes,54620,38788,71.01,35571,65.12,,,12/22/2021
Westbrook,No,6869,5772,84.03,5164,75.18,,,12/22/2021
Weston,No,10252,9149,89.24,8033,78.36,,,12/22/2021
Westport,No,28491,25307,88.82,21985,77.16,,,12/22/2021
Wethersfield,No,26008,22179,85.28,20496,78.81,,,12/22/2021
Willington,No,5864,3854,65.72,3558,60.68,,,12/22/2021
Wilton,No,18343,16338,89.07,14495,79.02,,,12/22/2021
Winchester,Yes,10604,6983,65.85,6423,60.57,,,12/22/2021
Windham,Yes,24561,15385,62.64,13879,56.51,,,12/22/2021
Windsor,No,28733,23110,80.43,21020,73.16,,,12/22/2021
Windsor Locks,Yes,12854,9192,71.51,8436,65.63,,,12/22/2021
Wolcott,No,16587,11896,71.72,11086,66.84,,,12/22/2021
Woodbridge,No,8750,7776,88.87,7081,80.93,,,12/22/2021
Woodbury,No,9502,7325,77.09,6802,71.58,,,12/22/2021
Woodstock,No,7858,5477,69.7,4928,62.71,,,12/22/2021
Address pending validation,,,14105,,12030,,,,12/29/2021
Andover,No,3236,2371,73.27,2206,68.17,,,12/29/2021
Ansonia,Yes,18654,12458,66.78,11407,61.15,,,12/29/2021
Ashford,No,4255,2963,69.64,2747,64.56,,,12/29/2021
Avon,No,18276,16977,92.89,15339,83.93,,,12/29/2021
Barkhamsted,No,3606,2747,76.18,2549,70.69,,,12/29/2021
Beacon Falls,No,6222,4416,70.97,4079,65.56,,,12/29/2021
Berlin,No,20436,15621,76.44,14480,70.86,,,12/29/2021
Bethany,No,5548,4378,78.91,4006,72.21,,,12/29/2021
Bethel,No,19800,15077,76.15,13311,67.23,,,12/29/2021
Bethlehem,No,3402,2383,70.05,2195,64.52,,,12/29/2021
Bloomfield,No,21211,17176,80.98,15476,72.96,,,12/29/2021
Bolton,No,4884,3813,78.07,3475,71.15,,,12/29/2021
Bozrah,No,2726,1794,65.81,1668,61.19,,,12/29/2021
Branford,No,27900,22813,81.77,20746,74.36,,,12/29/2021
Bridgeport,Yes,144399,96101,66.55,84174,58.29,,,12/29/2021
Bridgewater,No,1635,1362,83.3,1226,74.98,,,12/29/2021
Bristol,Yes,59947,44123,73.6,40314,67.25,,,12/29/2021
Brookfield,No,16973,13759,81.06,12362,72.83,,,12/29/2021
Brooklyn,No,8272,5511,66.62,4980,60.2,,,12/29/2021
Burlington,No,9704,7600,78.32,6990,72.03,,,12/29/2021
Canaan,No,1053,1282,100,1158,100,,,12/29/2021
Canterbury,No,5079,3364,66.23,3115,61.33,,,12/29/2021
Canton,No,10254,8259,80.54,7563,73.76,,,12/29/2021
Chaplin,No,2239,1486,66.37,1370,61.19,,,12/29/2021
Cheshire,No,28937,24352,84.16,22388,77.37,,,12/29/2021
Chester,No,4213,3311,78.59,3019,71.66,,,12/29/2021
Clinton,No,12925,11039,85.41,10030,77.6,,,12/29/2021
Colchester,No,15809,12382,78.32,11328,71.66,,,12/29/2021
Colebrook,No,1400,1100,78.57,1006,71.86,,,12/29/2021
Columbia,No,5379,4042,75.14,3754,69.79,,,12/29/2021
Cornwall,No,1362,1223,89.79,1069,78.49,,,12/29/2021
Coventry,No,12407,9341,75.29,8673,69.9,,,12/29/2021
Cromwell,No,13839,11913,86.08,10922,78.92,,,12/29/2021
Danbury,Yes,84694,66763,78.83,57607,68.02,,,12/29/2021
Darien,No,21728,19845,91.33,17242,79.35,,,12/29/2021
Deep River,No,4443,3721,83.75,3413,76.82,,,12/29/2021
Derby,Yes,12339,12199,98.87,10141,82.19,,,12/29/2021
Durham,No,7165,5725,79.9,5307,74.07,,,12/29/2021
East Granby,No,5140,4078,79.34,3739,72.74,,,12/29/2021
East Haddam,No,8997,6642,73.82,5936,65.98,,,12/29/2021
East Hampton,No,12800,9750,76.17,8924,69.72,,,12/29/2021
East Hartford,Yes,49872,37602,75.4,33686,67.54,,,12/29/2021
East Haven,Yes,28569,19805,69.32,18047,63.17,,,12/29/2021
East Lyme,No,18462,15848,85.84,14386,77.92,,,12/29/2021
East Windsor,No,11668,8143,69.79,7363,63.1,,,12/29/2021
Eastford,No,1790,1135,63.41,1055,58.94,,,12/29/2021
Easton,No,7521,6161,81.92,5499,73.12,,,12/29/2021
Ellington,No,16467,12466,75.7,11396,69.21,,,12/29/2021
Enfield,Yes,43659,28741,65.83,26134,59.86,,,12/29/2021
Essex,No,6668,5884,88.24,5299,79.47,,,12/29/2021
Fairfield,No,62045,50134,80.8,44640,71.95,,,12/29/2021
Farmington,No,25497,23128,90.71,20981,82.29,,,12/29/2021
Franklin,No,1920,1369,71.3,1260,65.62,,,12/29/2021
Glastonbury,No,34482,30572,88.66,27746,80.47,,,12/29/2021
Goshen,No,2863,2218,77.47,2025,70.73,,,12/29/2021
Granby,No,11507,8804,76.51,8074,70.17,,,12/29/2021
Greenwich,No,62840,51647,82.19,44412,70.67,,,12/29/2021
Griswold,Yes,11534,7262,62.96,6668,57.81,,,12/29/2021
Groton,Yes,38436,25962,67.55,23366,60.79,,,12/29/2021
Guilford,No,22133,19531,88.24,17470,78.93,,,12/29/2021
Haddam,No,8193,6819,83.23,6237,76.13,,,12/29/2021
Hamden,No,60556,44537,73.55,40710,67.23,,,12/29/2021
Hampton,No,1842,1229,66.72,1126,61.13,,,12/29/2021
Hartford,Yes,122105,73856,60.49,64298,52.66,,,12/29/2021
Hartland,No,2120,1340,63.21,1219,57.5,,,12/29/2021
Harwinton,No,5420,4044,74.61,3735,68.91,,,12/29/2021
Hebron,No,9504,7417,78.04,6745,70.97,,,12/29/2021
Kent,No,2777,2605,93.81,2266,81.6,,,12/29/2021
Killingly,Yes,17336,10625,61.29,9639,55.6,,,12/29/2021
Killingworth,No,6364,5126,80.55,4690,73.7,,,12/29/2021
Lebanon,No,7144,5211,72.94,4805,67.26,,,12/29/2021
Ledyard,No,14621,11162,76.34,10175,69.59,,,12/29/2021
Lisbon,No,4220,2961,70.17,2757,65.33,,,12/29/2021
Litchfield,No,8094,6464,79.86,5850,72.28,,,12/29/2021
Lyme,No,2316,2182,94.21,1950,84.2,,,12/29/2021
Madison,No,18030,16114,89.37,14322,79.43,,,12/29/2021
Manchester,Yes,57584,43355,75.29,39219,68.11,,,12/29/2021
Mansfield,No,25487,11179,43.86,10127,39.73,,,12/29/2021
Marlborough,No,6335,5070,80.03,4647,73.35,,,12/29/2021
Meriden,Yes,59395,43516,73.27,39584,66.65,,,12/29/2021
Middlebury,No,7798,6263,80.32,5700,73.1,,,12/29/2021
Middlefield,No,4374,3388,77.46,3140,71.79,,,12/29/2021
Middletown,Yes,46258,36698,79.33,33500,72.42,,,12/29/2021
Milford,Yes,54747,42278,77.22,38791,70.86,,,12/29/2021
Monroe,No,19434,15475,79.63,14153,72.83,,,12/29/2021
Montville,Yes,18508,12823,69.28,11606,62.71,,,12/29/2021
Morris,No,2254,1661,73.69,1494,66.28,,,12/29/2021
Naugatuck,No,31108,21845,70.22,19940,64.1,,,12/29/2021
New Britain,Yes,72495,44681,61.63,40462,55.81,,,12/29/2021
New Canaan,No,20233,19108,94.44,16233,80.23,,,12/29/2021
New Fairfield,No,13878,10411,75.02,9026,65.04,,,12/29/2021
New Hartford,No,6656,5036,75.66,4652,69.89,,,12/29/2021
New Haven,Yes,130250,90812,69.72,79339,60.91,,,12/29/2021
New London,Yes,26858,18314,68.19,16305,60.71,,,12/29/2021
New Milford,No,26805,21501,80.21,19348,72.18,,,12/29/2021
Newington,No,30014,24176,80.55,22331,74.4,,,12/29/2021
Newtown,No,27891,22508,80.7,20368,73.03,,,12/29/2021
Norfolk,No,1630,1207,74.05,1081,66.32,,,12/29/2021
North Branford,No,14146,11509,81.36,10581,74.8,,,12/29/2021
North Canaan,No,3251,2058,63.3,1863,57.31,,,12/29/2021
North Haven,No,23683,21155,89.33,19495,82.32,,,12/29/2021
North Stonington,No,5196,3452,66.44,3217,61.91,,,12/29/2021
Norwalk,Yes,88816,73049,82.25,64374,72.48,,,12/29/2021
Norwich,Yes,38768,26762,69.03,24079,62.11,,,12/29/2021
Old Lyme,No,7306,6444,88.2,5829,79.78,,,12/29/2021
Old Saybrook,No,10061,9357,93,8378,83.27,,,12/29/2021
Orange,Yes,13926,11916,85.57,10898,78.26,,,12/29/2021
Oxford,No,13255,9869,74.45,9081,68.51,,,12/29/2021
Plainfield,Yes,15125,9228,61.01,8390,55.47,,,12/29/2021
Plainville,No,17534,12759,72.77,11795,67.27,,,12/29/2021
Plymouth,No,11598,7462,64.34,6953,59.95,,,12/29/2021
Pomfret,No,4203,3155,75.07,2752,65.48,,,12/29/2021
Portland,No,9267,7545,81.42,6889,74.34,,,12/29/2021
Preston,No,4625,3333,72.06,3111,67.26,,,12/29/2021
Prospect,No,9702,7159,73.79,6634,68.38,,,12/29/2021
Putnam,No,9389,5903,62.87,5276,56.19,,,12/29/2021
Redding,No,9116,7296,80.04,6412,70.34,,,12/29/2021
Resident out of state,,,136480,,80585,,,,12/29/2021
Ridgefield,No,24959,21477,86.05,18919,75.8,,,12/29/2021
Rocky Hill,No,20115,16923,84.13,15350,76.31,,,12/29/2021
Roxbury,No,2152,1889,87.78,1672,77.7,,,12/29/2021
Salem,No,4083,3229,79.08,2928,71.71,,,12/29/2021
Salisbury,No,3600,3639,100,3267,90.75,,,12/29/2021
Scotland,No,1672,1026,61.36,972,58.13,,,12/29/2021
Seymour,No,16437,11955,72.73,11061,67.29,,,12/29/2021
Sharon,No,2689,1957,72.78,1747,64.97,,,12/29/2021
Shelton,No,41129,31754,77.21,29354,71.37,,,12/29/2021
Sherman,No,3630,2595,71.49,2259,62.23,,,12/29/2021
Simsbury,No,25395,21757,85.67,19768,77.84,,,12/29/2021
Somers,No,10784,7282,67.53,6590,61.11,,,12/29/2021
South Windsor,No,26162,22644,86.55,20625,78.84,,,12/29/2021
Southbury,No,19571,15998,81.74,14478,73.98,,,12/29/2021
Southington,No,43834,34413,78.51,31971,72.94,,,12/29/2021
Sprague,No,2859,1858,64.99,1723,60.27,,,12/29/2021
Stafford,No,11893,7256,61.01,6639,55.82,,,12/29/2021
Stamford,Yes,129638,110265,85.06,95227,73.46,,,12/29/2021
Sterling,No,3782,2015,53.28,1830,48.39,,,12/29/2021
Stonington,No,18559,14600,78.67,13291,71.61,,,12/29/2021
Stratford,No,51849,38791,74.82,35420,68.31,,,12/29/2021
Suffield,No,15814,11397,72.07,10287,65.05,,,12/29/2021
Thomaston,No,7535,5430,72.06,5041,66.9,,,12/29/2021
Thompson,No,9379,4958,52.86,4414,47.06,,,12/29/2021
Tolland,No,14618,11733,80.26,10886,74.47,,,12/29/2021
Torrington,Yes,34044,25086,73.69,23013,67.6,,,12/29/2021
Trumbull,No,35673,30743,86.18,27857,78.09,,,12/29/2021
Union,No,839,545,64.96,508,60.55,,,12/29/2021
